code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
SZ.002049,2021-05-24 00:00:00,90.911264,94.911288,95.125575,90.125545,85.99,0.02094,17787791,1672084936.93,4.543655655147261,90.7862724
SZ.002049,2021-05-25 00:00:00,94.7041439,96.2112958,96.5684408,93.696995,87.165,0.0189,16057444,1537056010.35,1.3697083111968757,94.911288
SZ.002049,2021-05-26 00:00:00,96.5041547,94.1398548,97.2613021,93.911282,85.293,0.01428,12127269,1159866505.94,-2.1530122661543105,96.2112958
SZ.002049,2021-05-27 00:00:00,94.1469977,95.982723,97.268445,93.8969962,86.959,0.0162,13764014,1319078503.05,1.9575855559955657,94.1398548
SZ.002049,2021-05-28 00:00:00,95.0041457,94.911288,97.3755885,94.6041433,85.99,0.01318,11198559,1072173741.36,-1.1162790203399355,95.982723
SZ.002049,2021-05-31 00:00:00,94.911288,99.1684564,100.2398914,94.76843,89.838,0.02146,18233528,1786753941.67,4.485418425677668,94.911288
SZ.002049,2021-06-01 00:00:00,98.33988,99.982747,102.8113354,98.125593,90.574,0.01737,14759940,1489418072.48,0.8211185588243226,99.1684564
SZ.002049,2021-06-02 00:00:00,100.697037,96.9113,101.0470391,96.19701,87.798,0.01673,14209185,1397538329.34,-3.0719770081932296,99.982747
SZ.002049,2021-06-03 00:00:00,97.982735,94.3112844,98.197022,94.05414,85.448,0.01558,13235091,1268569963.2,-2.6828817692054403,96.9113
SZ.002049,2021-06-04 00:00:00,94.05414,94.339856,95.768436,91.19698,85.474,0.01896,16111185,1511740478.36,0.030294996173323516,94.3112844
SZ.002049,2021-06-07 00:00:00,95.339862,98.4755951,99.76846,95.339862,89.212,0.0207,17584294,1730539901.01,4.383872602052741,94.339856
SZ.002049,2021-06-08 00:00:00,99.0398842,98.0327353,100.4684642,96.3112964,88.812,0.01602,13608558,1343255965.78,-0.44971528179168924,98.4755951
SZ.002049,2021-06-09 00:00:00,99.05417,102.482762,102.5399052,99.05417,92.834,0.02157,18325113,1859536806.27,4.539327283261059,98.0327353
SZ.002049,2021-06-10 00:00:00,101.1113252,101.4184699,101.8470439,99.8327461,91.872,0.01455,12360604,1250338020.75,-1.0385084078822824,102.482762
SZ.002049,2021-06-11 00:00:00,102.1327599,100.054176,102.1827602,97.6827332,90.639,0.01673,14209015,1415810418.19,-1.3452124660776479,101.4184699
SZ.002049,2021-06-15 00:00:00,99.5398872,100.3613207,100.6898941,96.5755837,90.916,0.01622,13781201,1364004230.46,0.3069783913866773,100.054176
SZ.002049,2021-06-16 00:00:00,101.411327,94.1327119,101.7756149,93.2184207,85.287,0.01838,15615385,1513336012.41,-6.206184570466688,100.3613207
SZ.002049,2021-06-17 00:00:00,94.1327119,100.197034,100.48275,94.0684258,90.768,0.02334,19830358,1948939425.72,6.442311049576803,94.1327119
SZ.002049,2021-06-18 00:00:00,101.2041829,101.2041829,103.7541982,99.911318,91.678,0.02172,18449141,1883496123.13,1.0051683765409705,100.197034
SZ.002049,2021-06-21 00:00:00,101.054182,105.982783,106.6827872,98.625596,95.997,0.02593,22030127,2295049586.16,4.721741693939403,101.2041829
SZ.002049,2021-06-22 00:00:00,105.839925,104.482774,106.8756455,103.8899133,94.641,0.01712,14546145,1534060626.81,-1.4153327149372852,105.982783
SZ.002049,2021-06-23 00:00:00,104.625632,106.6399298,108.697085,104.2327725,96.591,0.01855,15757509,1694847702.99,2.064604257157259,104.482774
SZ.002049,2021-06-24 00:00:00,106.0399262,105.268493,107.5185065,104.6827752,95.351,0.01267,10761835,1141026133.95,-1.2860443574673075,106.6399298
SZ.002049,2021-06-25 00:00:00,105.9684972,104.7113468,107.268505,102.3827614,94.848,0.01631,13855809,1449944366.14,-0.5292620651461262,105.268493
SZ.002049,2021-06-28 00:00:00,106.2042129,107.982795,108.33994,105.1542066,97.805,0.01697,14418147,1548506152.75,3.124253769983975,104.7113468
SZ.002049,2021-06-29 00:00:00,106.91136,106.6685014,107.7113648,104.3827734,96.617,0.01346,11434605,1215274083.6,-1.2171324144739903,107.982795
SZ.002049,2021-06-30 00:00:00,107.5399352,109.9042351,111.1971,106.19707,99.541,0.02028,17224879,1888758584.99,3.033448166545628,106.6685014
SZ.002049,2021-07-01 00:00:00,110.7542402,106.91136,111.8328181,106.91136,96.836,0.01552,13181207,1444586110.47,-2.723166306809584,109.9042351
SZ.002049,2021-07-02 00:00:00,105.6827812,104.76849,106.91136,103.33991,94.899,0.01534,13033496,1374776835.45,-2.0043426629312378,106.91136
SZ.002049,2021-07-05 00:00:00,105.48278,112.0256764,114.911408,105.2327785,101.459,0.02817,23931224,2677289270.03,6.926878873600254,104.76849
SZ.002049,2021-07-06 00:00:00,113.33997,110.3899523,116.482846,106.91136,99.98,0.02319,19700966,2196564795.07,-1.4601332056764,112.0256764
SZ.002049,2021-07-07 00:00:00,109.05423,121.4543044,121.4543044,108.33994,109.98,0.02843,24149717,2838537927.54,10.022970269912864,110.3899523
SZ.002049,2021-07-08 00:00:00,124.76861,122.0400222,124.76861,119.625722,110.51,0.02422,20573445,2502905217.53,0.4822536367842371,121.4543044
SZ.002049,2021-07-09 00:00:00,122.0400222,121.4328757,125.1757553,119.0471471,109.961,0.01959,16641489,2026814273.96,-0.4974978609926859,122.0400222
SZ.002049,2021-07-12 00:00:00,117.9971408,119.6614365,122.62574,115.4971258,108.36,0.03403,28910907,3449379854.26,-1.458780573043782,121.4328757
SZ.002049,2021-07-13 00:00:00,118.3471429,112.268535,119.411435,109.839949,101.678,0.03366,28598175,3240336168.96,-6.178182141411944,119.6614365
SZ.002049,2021-07-14 00:00:00,112.6185371,112.6756803,116.125701,112.054248,102.046,0.01753,14895290,1703663861.14,0.3626530799569054,112.268535
SZ.002049,2021-07-15 00:00:00,111.411387,114.1114032,115.2042669,109.911378,103.344,0.01744,14818882,1672084569.72,1.2742083262132315,112.6756803
SZ.002049,2021-07-16 00:00:00,112.62568,117.8185683,121.2471603,112.482822,106.694,0.02068,17568447,2084196063.94,3.248724488561891,114.1114032
SZ.002049,2021-07-19 00:00:00,117.6114242,115.4614113,124.76861,114.4899769,104.564,0.02024,17195502,2046367546.28,-2.0006668167941073,117.8185683
SZ.002049,2021-07-20 00:00:00,114.0399742,120.0400102,120.4971558,112.339964,108.702,0.01352,11483172,1356145442.88,3.965479763713925,115.4614113
SZ.002049,2021-07-21 00:00:00,119.7400084,122.982885,124.268607,118.625716,111.362,0.0157,13338327,1635446279.89,2.451578265527337,120.0400102
SZ.002049,2021-07-22 00:00:00,123.197172,124.1614635,126.0186175,120.48287,112.427,0.01112,9450568,1173053401.97,0.9583272501698106,122.982885
SZ.002049,2021-07-23 00:00:00,124.05432,121.9328787,124.554323,117.8899973,110.413,0.01494,12689035,1540785516.01,-1.7949086110764094,124.1614635
SZ.002049,2021-07-26 00:00:00,122.982885,128.7972056,132.697229,121.91145,116.617,0.02341,19884020,2556097471.58,5.629594718983706,121.9328787
SZ.002049,2021-07-27 00:00:00,130.6400738,126.5686208,139.8472719,125.3971852,114.602,0.03249,27601180,3698086373.62,-1.730305241964044,128.7972056
SZ.002049,2021-07-28 00:00:00,126.2114758,127.9472005,132.197226,116.91142,115.848,0.02315,19665153,2510045344.21,1.089195482487227,126.5686208
SZ.002049,2021-07-29 00:00:00,133.0900885,135.2615301,135.48296,128.4472035,122.459,0.02042,17344346,2312329748.13,5.716678107388519,127.9472005
SZ.002049,2021-07-30 00:00:00,135.48296,136.2472503,139.5401272,132.6186571,123.35,0.01763,14979689,2037290770.3,0.728751330308959,135.2615301
SZ.002049,2021-08-02 00:00:00,136.1901071,136.8972542,139.554413,132.3257982,123.938,0.01588,13487586,1841428935.2,0.4770767105895872,136.2472503
SZ.002049,2021-08-03 00:00:00,135.48296,127.6329129,135.48296,126.19719,115.564,0.01879,15963599,2084759242.8,-6.7673682384200795,136.8972542
SZ.002049,2021-08-04 00:00:00,127.268625,133.6043773,134.76867,127.268625,120.961,0.01474,12523102,1670734062.73,4.678624239093126,127.6329129
SZ.002049,2021-08-05 00:00:00,134.411525,141.91157,146.19731,132.268655,128.469,0.02267,19262579,2699699492.51,6.2177548878856985,133.6043773
SZ.002049,2021-08-06 00:00:00,143.697295,139.5472701,145.4044481,135.8686766,126.333,0.01683,14295524,1998884785.62,-1.6660374485322231,141.91157
SZ.002049,2021-08-09 00:00:00,138.482978,137.6544016,140.911564,135.197244,124.622,0.01335,11339680,1556385668.83,-1.356435348856023,139.5472701
SZ.002049,2021-08-10 00:00:00,137.268685,142.6187171,146.554455,136.91154,129.109,0.01931,16402054,2347541867.04,3.6063616145202855,137.6544016
SZ.002049,2021-08-11 00:00:00,143.6115802,141.91157,143.6187231,137.2615421,128.469,0.01155,9814704,1381393732.68,-0.49583050133886386,142.6187171
SZ.002049,2021-08-12 00:00:00,141.19728,138.768694,142.6115742,137.3829714,125.629,0.01112,9450959,1321353403.31,-2.2146721370216684,141.91157
SZ.002049,2021-08-13 00:00:00,138.3186913,136.7972536,139.697271,133.7400924,123.847,0.01325,11256681,1539533572.55,-1.4206665373675749,138.768694
SZ.002049,2021-08-16 00:00:00,135.48296,134.7472413,138.8044085,133.7543782,121.994,0.01006,8548800,1159380140.03,-1.4985770883926515,136.7972536
SZ.002049,2021-08-17 00:00:00,134.05438,131.0972194,138.6186931,129.697211,118.695,0.01886,16024803,2135864825.66,-2.708791560246965,134.7472413
SZ.002049,2021-08-18 00:00:00,131.19722,133.1543746,137.340114,129.8257832,120.555,0.01593,13532101,1811002220.88,1.5691829387496612,131.0972194
SZ.002049,2021-08-19 00:00:00,132.6258,139.9972728,142.2615721,130.3043575,126.739,0.01731,14706439,2028021266.26,5.139071262627506,133.1543746
SZ.002049,2021-08-20 00:00:00,142.62586,154.0187855,154.0187855,142.62586,139.412,0.03897,33105325,5023848764.16,10.015561317420191,139.9972728
SZ.002049,2021-08-23 00:00:00,152.62592,161.5974024,162.9259818,150.0044757,146.262,0.02903,24664112,3910386200.64,4.920579574366261,154.0187855
SZ.002049,2021-08-24 00:00:00,155.4473655,161.3616867,166.2260016,153.34021,146.049,0.02756,23410895,3745852619.17,-0.1458660204305276,161.5974024
SZ.002049,2021-08-25 00:00:00,171.19746,164.0474171,177.5189265,160.5259674,109.051,0.03356,28508592,4803337684.64,1.6644164144077347,161.3616867
SZ.002049,2021-08-26 00:00:00,167.62601,169.5688788,175.2831988,164.05456,112.716,0.02171,18441901,3132784347.59,3.3657717979395136,164.0474171
SZ.002049,2021-08-27 00:00:00,168.3403,164.411705,173.554617,161.91169,109.293,0.0217,18435303,3050273310.22,-3.0413445182253462,169.5688788
SZ.002049,2021-08-30 00:00:00,169.76888,159.76882,170.768886,159.05453,106.211,0.02316,19671492,3208555864.67,-2.823938234811205,164.411705
SZ.002049,2021-08-31 00:00:00,161.6402598,159.554533,165.840285,157.3616627,106.069,0.0176,14948637,2410221571.03,-0.13412316620978548,159.76882
SZ.002049,2021-09-01 00:00:00,164.1117032,159.625962,164.4188479,150.911624,106.116,0.02122,18028026,2845408345.42,0.04476776601514346,159.554533
SZ.002049,2021-09-02 00:00:00,156.91166,158.4045261,160.7902547,153.1830662,105.305,0.01609,13666837,2151471381.99,-0.7651862420725702,159.625962
SZ.002049,2021-09-03 00:00:00,158.3616687,154.1187861,159.76882,150.4901929,102.46,0.01817,15433378,2384389874.97,-2.7055666309019717,158.4045261
SZ.002049,2021-09-06 00:00:00,152.6830632,155.9902259,157.3759485,147.5258894,103.703,0.01537,13059650,2010872701.04,1.2142840255604757,154.1187861
SZ.002049,2021-09-07 00:00:00,157.1902331,157.5402352,163.0902685,154.3687876,104.732,0.01454,12348490,1970900180.54,0.9936579622582616,155.9902259
SZ.002049,2021-09-08 00:00:00,157.3830914,153.4473535,158.625956,151.5616279,102.015,0.01339,11377546,1754690699.25,-2.59799136062228,157.5402352
SZ.002049,2021-09-09 00:00:00,153.911642,153.3259242,155.0045057,149.8759035,101.934,0.01219,10356669,1576545557.74,-0.07913417679112232,153.4473535
SZ.002049,2021-09-10 00:00:00,153.34021,159.3331031,162.8045525,149.7759029,105.922,0.01828,15525813,2450095314.39,3.9179146849062234,153.3259242
SZ.002049,2021-09-13 00:00:00,159.7616771,143.3758645,159.76882,143.3758645,95.329,0.02884,24502627,3564799910.48,-10.015017776930488,159.3331031
SZ.002049,2021-09-14 00:00:00,144.3330131,142.911576,149.05447,141.0758507,95.021,0.02099,17829187,2588617211.52,-0.3238261206787766,143.3758645
SZ.002049,2021-09-15 00:00:00,143.0830056,148.768754,149.983047,133.3472329,98.909,0.0255,21664244,3070833141.79,4.098462954463538,142.911576
SZ.002049,2021-09-16 00:00:00,145.48302,140.411561,146.125881,137.3972572,93.361,0.01784,15157045,2141077934.98,-5.617572759935864,148.768754
SZ.002049,2021-09-17 00:00:00,139.4686982,143.054434,145.2330185,137.62583,95.116,0.01227,10427796,1479602373.32,1.8822331873370315,140.411561
SZ.002049,2021-09-22 00:00:00,140.48299,147.0616009,151.0759107,139.05441,97.776,0.01569,13325776,1958425544.62,2.8011483377020077,143.054434
SZ.002049,2021-09-23 00:00:00,147.5901755,148.697325,152.62592,143.2544352,98.862,0.01509,12815948,1899130363.97,1.1122713815092193,147.0616009
SZ.002049,2021-09-24 00:00:00,146.9116,149.268757,152.554491,146.19731,99.241,0.00949,8065752,1203296061.58,0.38429205098342367,148.697325
SZ.002049,2021-09-27 00:00:00,148.840183,146.8115994,150.48305,141.19728,97.61,0.01116,9483520,1390694845.75,-1.6461298729780325,149.268757
